name,product_url,category,shop_name,price,commission_rate,commission_amount,sold_count,rating,review_count,bad_review_count,voucher_info,shipping_note
Mini Foam Roller,https://shop.example/products/mini-foam-roller,Fitness,Move Daily,14.99,12,1.80,5100,4.6,620,21,5% off,Standard shipping
Clip On Reading Light,https://shop.example/products/clip-on-reading-light,Home,Book Nest,9.50,10,0.95,7400,4.5,810,36,Buy 2 save 8%,Ships in 1 day
Silicone Air Fryer Liner,https://shop.example/products/silicone-air-fryer-liner,Kitchen,Daily Home,8.99,14,1.26,18300,4.7,2100,48,10% voucher,Free shipping
Travel Cable Organizer,https://shop.example/products/travel-cable-organizer,Travel,Pack Right,12.49,11,1.37,8900,4.4,990,55,Bundle voucher,Standard shipping
Magnetic Phone Mount,https://shop.example/products/magnetic-phone-mount,Automotive,Road Kit,15.75,13,2.05,12600,4.6,1410,44,Flash voucher,Ships in 2 days
Reusable Makeup Pads,https://shop.example/products/reusable-makeup-pads,Beauty,Glow Lab,7.25,16,1.16,9700,4.5,730,28,Buy 3 save 10%,Free shipping
Desk Cable Clips,https://shop.example/products/desk-cable-clips,Office,Tidy Desk,5.99,9,0.54,15200,4.3,880,64,No voucher,Standard shipping
Pet Grooming Glove,https://shop.example/products/pet-grooming-glove,Pets,Paw Supply,10.50,12,1.26,11300,4.6,1330,40,5% off,Ships in 1 day
Vegetable Chopper,https://shop.example/products/vegetable-chopper,Kitchen,Daily Home,19.99,15,3.00,20100,4.7,2840,79,10% off orders over $25,Free shipping
Resistance Bands Set,https://shop.example/products/resistance-bands-set,Fitness,Move Daily,13.99,14,1.96,17600,4.6,2260,58,Bundle voucher,Standard shipping
Foldable Laundry Basket,https://shop.example/products/foldable-laundry-basket,Home,Home Harbor,16.90,10,1.69,6600,4.4,710,30,5% voucher,Ships in 2 days
LED Closet Light,https://shop.example/products/led-closet-light,Home,Bright Room,11.25,13,1.46,12100,4.5,1080,47,No voucher,Standard shipping
Phone Camera Lens Kit,https://shop.example/products/phone-camera-lens-kit,Electronics,Creator Kit,22.00,17,3.74,5800,4.2,540,39,Creator voucher,Ships in 2 days
Stainless Straw Set,https://shop.example/products/stainless-straw-set,Kitchen,Daily Home,6.49,8,0.52,13900,4.7,1250,22,Buy 2 save 5%,Free shipping
Portable Shoe Bags,https://shop.example/products/portable-shoe-bags,Travel,Pack Right,8.75,9,0.79,8100,4.3,620,33,Travel voucher,Standard shipping
Car Seat Gap Filler,https://shop.example/products/car-seat-gap-filler,Automotive,Road Kit,17.99,12,2.16,9200,4.4,880,41,5% off,Ships in 1 day
Hair Scalp Massager,https://shop.example/products/hair-scalp-massager,Beauty,Glow Lab,6.99,15,1.05,24500,4.8,3100,35,No voucher,Free shipping
Laptop Stand,https://shop.example/products/laptop-stand,Office,Tidy Desk,21.50,11,2.37,7600,4.6,980,26,Office voucher,Standard shipping
Cat Window Hammock,https://shop.example/products/cat-window-hammock,Pets,Paw Supply,24.99,13,3.25,4300,4.5,510,24,Pet voucher,Ships in 3 days
Digital Kitchen Scale,https://shop.example/products/digital-kitchen-scale,Kitchen,Daily Home,13.75,12,1.65,15100,4.7,1760,31,10% voucher,Free shipping
Yoga Knee Pad,https://shop.example/products/yoga-knee-pad,Fitness,Move Daily,10.99,10,1.10,6900,4.5,600,20,No voucher,Standard shipping
Drawer Dividers,https://shop.example/products/drawer-dividers,Home,Home Harbor,12.99,11,1.43,10100,4.4,950,45,Home voucher,Ships in 2 days
Rechargeable Hand Warmer,https://shop.example/products/rechargeable-hand-warmer,Electronics,Creator Kit,18.99,14,2.66,5200,4.3,470,38,Seasonal voucher,Standard shipping
Packing Cubes Set,https://shop.example/products/packing-cubes-set,Travel,Pack Right,20.50,12,2.46,11800,4.7,1350,29,Bundle voucher,Free shipping
Tire Pressure Gauge,https://shop.example/products/tire-pressure-gauge,Automotive,Road Kit,9.99,10,1.00,8700,4.4,710,34,No voucher,Standard shipping
